,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.041974,0.051035,0.0,0.004478,0.023159,0.059961,0.319855
dr-ibt,500.0,0.054012,0.059971,0.0,0.009858,0.033455,0.079101,0.341685
dr-ibt (tau=0),500.0,0.167936,0.072383,0.019237,0.110847,0.161935,0.213185,0.413481
dm,500.0,0.16007,0.054076,0.02911,0.124178,0.157293,0.19189,0.348308
dr,500.0,0.051154,0.058841,0.0,0.008389,0.028714,0.073921,0.333796
mrdr,500.0,0.060505,0.07499,0.0,0.009065,0.034033,0.078119,0.400833
dr-os (oracle),500.0,0.050543,0.053579,0.0,0.008869,0.033041,0.076723,0.352936
dr-os,500.0,0.055169,0.058711,1e-06,0.011237,0.035019,0.081902,0.356158
switch-dr (oracle),500.0,0.044524,0.049437,0.0,0.005799,0.026715,0.067205,0.232832
switch-dr,500.0,0.055549,0.060765,1e-06,0.009873,0.031955,0.083718,0.400629
