,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.005874,0.013159,0.0,1.3e-05,0.000947,0.005533,0.113569
dr-ibt,500.0,0.012595,0.02256,0.0,0.001334,0.006165,0.016124,0.348755
dr-ibt (tau=0),500.0,0.011625,0.016132,0.0,0.001417,0.005677,0.016823,0.14541
dm,500.0,0.190727,0.06531,0.040777,0.145728,0.184619,0.236078,0.416676
dr,500.0,0.031733,0.048242,0.0,0.002545,0.012771,0.038917,0.422603
mrdr,500.0,0.024815,0.038392,0.0,0.002321,0.009426,0.029598,0.315173
dr-os (oracle),500.0,0.009106,0.020265,0.0,0.000244,0.001536,0.005888,0.188569
dr-os,500.0,0.029338,0.042913,0.0,0.002463,0.012333,0.038065,0.3504
switch-dr (oracle),500.0,0.010185,0.019855,0.0,0.000523,0.002445,0.008885,0.187598
switch-dr,500.0,0.031733,0.048242,0.0,0.002545,0.012771,0.038917,0.422603
