,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001247,0.003143,0.0,6e-06,9.2e-05,0.000785,0.035042
dr-ibt,500.0,0.006817,0.010132,0.0,0.000576,0.003137,0.008336,0.079095
dr-ibt (tau=0),500.0,0.00835,0.007593,0.0,0.002473,0.006447,0.012338,0.040219
dm,500.0,0.012379,0.009792,3.7e-05,0.005488,0.010327,0.016297,0.068671
dr,500.0,0.005232,0.007627,0.0,0.00055,0.002456,0.006363,0.068887
mrdr,500.0,0.006002,0.008591,0.0,0.000623,0.002763,0.007787,0.071817
dr-os (oracle),500.0,0.002075,0.004668,0.0,4.2e-05,0.000237,0.001314,0.033638
dr-os,500.0,0.005383,0.007141,0.0,0.00059,0.002475,0.006814,0.046815
switch-dr (oracle),500.0,0.001556,0.003193,0.0,6.6e-05,0.000357,0.001546,0.029979
switch-dr,500.0,0.005197,0.007392,0.0,0.000502,0.002224,0.006806,0.045734
