,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.039275,0.054216,0.0,0.00396,0.01601,0.052727,0.361168
dr-ibt,500.0,0.07689,0.071095,0.0,0.018182,0.056542,0.115204,0.357009
dr-ibt (tau=0),500.0,0.253147,0.047483,0.116852,0.217697,0.253733,0.288732,0.361756
dm,500.0,0.326424,0.022589,0.250777,0.311659,0.3275,0.342359,0.380066
dr,500.0,0.057421,0.090208,0.0,0.006097,0.023939,0.071045,0.763175
mrdr,500.0,0.053213,0.080123,0.0,0.005532,0.022853,0.065189,0.751389
dr-os (oracle),500.0,0.047522,0.056785,0.0,0.005536,0.025767,0.068307,0.345672
dr-os,500.0,0.048986,0.06091,0.0,0.005536,0.025767,0.068307,0.351646
switch-dr (oracle),500.0,0.034365,0.049625,0.0,0.003202,0.014848,0.045087,0.345297
switch-dr,500.0,0.057421,0.090208,0.0,0.006097,0.023939,0.071045,0.763175
