,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.021172,0.026938,0.0,0.001516,0.008778,0.033799,0.135308
dr-ibt,500.0,0.040666,0.042104,1e-06,0.008153,0.027842,0.059947,0.254543
dr-ibt (tau=0),500.0,0.078189,0.030595,0.008503,0.055012,0.075472,0.098436,0.172366
dm,500.0,0.094851,0.024345,0.02925,0.07809,0.094161,0.111482,0.172314
dr,500.0,0.038965,0.050581,0.0,0.003345,0.018073,0.059192,0.426189
mrdr,500.0,0.049778,0.066431,0.0,0.005998,0.02583,0.069159,0.555045
dr-os (oracle),500.0,0.031757,0.032118,0.0,0.005431,0.018819,0.051222,0.141621
dr-os,500.0,0.036236,0.040667,0.0,0.005431,0.018939,0.055476,0.224582
switch-dr (oracle),500.0,0.024514,0.029271,0.0,0.002885,0.011987,0.03549,0.146197
switch-dr,500.0,0.038842,0.049844,1e-06,0.006115,0.01939,0.0519,0.304188
