,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.016554,0.025457,0.0,0.00046,0.005069,0.023326,0.159799
dr-ibt,300.0,0.018712,0.027272,0.0,0.000868,0.006977,0.026203,0.161421
dr-ibt (tau=0),300.0,0.018355,0.026955,1e-06,0.000745,0.00579,0.025878,0.161397
dm,300.0,0.676905,0.04372,0.543574,0.647728,0.679808,0.706188,0.762807
dr,300.0,0.037177,0.053572,0.0,0.004745,0.016088,0.047191,0.331284
mrdr,300.0,0.016826,0.021821,2e-06,0.001963,0.008649,0.023113,0.144834
dr-os (oracle),300.0,0.024519,0.036895,3e-06,0.003536,0.012594,0.027724,0.334106
dr-os,300.0,0.03578,0.050991,4e-06,0.004769,0.015674,0.042972,0.334106
switch-dr (oracle),300.0,0.020961,0.03653,0.0,0.00149,0.007805,0.02168,0.331284
switch-dr,300.0,0.037177,0.053572,0.0,0.004745,0.016088,0.047191,0.331284
