,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),300.0,0.073906,0.046926,0.000996,0.038235,0.067449,0.10069,0.268071
dr-ibt,300.0,0.088388,0.05276,0.00231,0.052645,0.077586,0.113754,0.277594
dr-ibt (tau=0),300.0,0.32788,0.026949,0.25854,0.309459,0.328064,0.346935,0.403377
dm,300.0,0.367844,0.025854,0.293328,0.350188,0.368287,0.384712,0.440267
dr,300.0,0.07468,0.048848,0.0,0.037372,0.066764,0.102337,0.28471
mrdr,300.0,0.079371,0.052981,1.3e-05,0.035542,0.06879,0.109631,0.311054
dr-os (oracle),300.0,0.081805,0.046067,4e-06,0.048476,0.076022,0.113488,0.249647
dr-os,300.0,0.081805,0.046067,4e-06,0.048476,0.076022,0.113488,0.249647
switch-dr (oracle),300.0,0.072468,0.045073,0.000379,0.038245,0.065326,0.096855,0.245652
switch-dr,300.0,0.073916,0.045875,0.000379,0.03946,0.06614,0.098538,0.262759
