,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,9e-06,2.6e-05,0.0,0.0,0.0,3e-06,0.000277
dr-ibt,500.0,8.4e-05,0.000109,0.0,9e-06,4.5e-05,0.000119,0.000994
dr-ibt (tau=0),500.0,0.000332,0.000273,0.0,0.000105,0.000284,0.000496,0.00137
dm,500.0,0.015081,0.003263,0.007349,0.012851,0.014831,0.017076,0.026443
dr,500.0,0.000195,0.000255,0.0,2.5e-05,9.6e-05,0.000271,0.001986
mrdr,500.0,8.8e-05,0.000111,0.0,1e-05,4.5e-05,0.000125,0.000822
dr-os (oracle),500.0,9.8e-05,0.000161,0.0,6e-06,2.2e-05,0.000121,0.001148
dr-os,500.0,0.000185,0.000243,0.0,2.3e-05,9e-05,0.000245,0.001867
switch-dr (oracle),500.0,0.000131,0.000168,0.0,1.6e-05,6.4e-05,0.000167,0.001079
switch-dr,500.0,0.000195,0.000255,0.0,2.5e-05,9.6e-05,0.000271,0.001986
