,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.072538,0.04017,0.006503,0.044368,0.063426,0.094203,0.235012
dr-ibt,500.0,0.079433,0.041886,0.004158,0.048815,0.071584,0.099996,0.250027
dr-ibt (tau=0),500.0,0.120693,0.057095,0.011661,0.078981,0.111109,0.155418,0.370491
dm,500.0,0.104927,0.042672,0.014948,0.07261,0.100112,0.131674,0.266761
dr,500.0,0.078251,0.039509,0.007021,0.04832,0.073606,0.100448,0.254571
mrdr,500.0,0.079683,0.04216,0.002614,0.048865,0.072902,0.104329,0.235385
dr-os (oracle),500.0,0.074423,0.038109,0.003004,0.047768,0.070811,0.093101,0.267272
dr-os,500.0,0.075236,0.038994,0.003004,0.048212,0.071234,0.093543,0.298631
switch-dr (oracle),500.0,0.073035,0.036544,0.006235,0.048439,0.066911,0.094618,0.233613
switch-dr,500.0,0.075628,0.038021,0.007583,0.049079,0.069024,0.097768,0.254413
