,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.015153,0.024285,0.0,0.000302,0.004538,0.02054,0.167686
dr-ibt,500.0,0.016142,0.024496,0.0,0.001473,0.005812,0.02071,0.167707
dr-ibt (tau=0),500.0,0.023638,0.029995,0.0,0.002698,0.012025,0.031873,0.18193
dm,500.0,0.598495,0.039145,0.478267,0.572387,0.598694,0.625416,0.711414
dr,500.0,0.031558,0.043061,0.0,0.00308,0.014888,0.043706,0.264852
mrdr,500.0,0.01576,0.023058,0.0,0.001148,0.006475,0.020057,0.170513
dr-os (oracle),500.0,0.029794,0.039311,0.0,0.003021,0.014913,0.043176,0.268365
dr-os,500.0,0.030932,0.042194,0.0,0.003021,0.014913,0.043176,0.268365
switch-dr (oracle),500.0,0.023112,0.035802,0.0,0.001754,0.009594,0.026851,0.264852
switch-dr,500.0,0.031558,0.043061,0.0,0.00308,0.014888,0.043706,0.264852
