,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.047702,0.031306,0.0,0.024903,0.04118,0.064926,0.204006
dr-ibt,500.0,0.062092,0.034561,0.000115,0.036524,0.057112,0.079281,0.239088
dr-ibt (tau=0),500.0,0.054043,0.036201,0.000143,0.028277,0.047014,0.072007,0.254855
dm,500.0,0.311472,0.024084,0.226811,0.294983,0.31121,0.327674,0.377718
dr,500.0,0.065017,0.038899,0.000801,0.035584,0.060402,0.088224,0.216185
mrdr,500.0,0.06641,0.042816,0.000149,0.034147,0.057621,0.090987,0.231949
dr-os (oracle),500.0,0.063712,0.034891,0.000583,0.036958,0.059814,0.083253,0.190002
dr-os,500.0,0.063712,0.034891,0.000583,0.036958,0.059814,0.083253,0.190002
switch-dr (oracle),500.0,0.06138,0.037943,0.000468,0.032425,0.05454,0.084991,0.239978
switch-dr,500.0,0.06188,0.038267,0.000468,0.032859,0.055012,0.085628,0.239978
