,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,8.9e-05,0.000229,0.0,1e-06,7e-06,4.2e-05,0.002058
dr-ibt,500.0,0.001209,0.001557,0.0,0.000159,0.000548,0.001743,0.012106
dr-ibt (tau=0),500.0,0.004158,0.004242,0.0,0.000603,0.002696,0.006446,0.020555
dm,500.0,0.383714,0.013014,0.345235,0.374902,0.38385,0.391989,0.421689
dr,500.0,0.001631,0.002097,0.0,0.000145,0.000757,0.002311,0.01548
mrdr,500.0,0.000454,0.000561,0.0,6.6e-05,0.00025,0.000653,0.003659
dr-os (oracle),500.0,0.001504,0.001911,0.0,0.00014,0.000737,0.002126,0.013053
dr-os,500.0,0.001504,0.001911,0.0,0.00014,0.000737,0.002126,0.013053
switch-dr (oracle),500.0,0.000843,0.001327,0.0,4e-05,0.000273,0.001105,0.010361
switch-dr,500.0,0.001631,0.002097,0.0,0.000145,0.000757,0.002311,0.01548
