,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.028139,0.018601,1.2e-05,0.014449,0.024681,0.038384,0.117781
dr-ibt,500.0,0.036369,0.023666,0.000677,0.019771,0.031295,0.046958,0.154702
dr-ibt (tau=0),500.0,0.033172,0.02264,3.2e-05,0.016582,0.028293,0.045043,0.161406
dm,500.0,0.183616,0.020506,0.117153,0.170357,0.182884,0.195952,0.242168
dr,500.0,0.034469,0.020631,2e-06,0.018289,0.030898,0.047082,0.111382
mrdr,500.0,0.034349,0.022114,1.4e-05,0.017176,0.030271,0.048008,0.117502
dr-os (oracle),500.0,0.037617,0.021631,0.000151,0.021637,0.033847,0.050187,0.129551
dr-os,500.0,0.037617,0.021631,0.000151,0.021637,0.033847,0.050187,0.129551
switch-dr (oracle),500.0,0.036599,0.021567,3.5e-05,0.021151,0.032341,0.049088,0.13429
switch-dr,500.0,0.037219,0.021988,3.5e-05,0.021269,0.032935,0.050135,0.13429
