,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001584,0.003426,0.0,2e-06,0.000118,0.001658,0.033589
dr-ibt,500.0,0.00591,0.007853,0.0,0.000638,0.00267,0.008331,0.046401
dr-ibt (tau=0),500.0,0.00484,0.007141,0.0,0.00042,0.00222,0.006081,0.060974
dm,500.0,0.049803,0.018419,0.008715,0.036288,0.047834,0.061268,0.104045
dr,500.0,0.006278,0.008473,0.0,0.000756,0.002729,0.008364,0.045028
mrdr,500.0,0.004935,0.006919,0.0,0.000386,0.002083,0.00659,0.050361
dr-os (oracle),500.0,0.00256,0.005785,0.0,2.5e-05,0.000191,0.002152,0.04476
dr-os,500.0,0.006141,0.008273,0.0,0.000732,0.002669,0.008247,0.04476
switch-dr (oracle),500.0,0.002674,0.005544,0.0,0.000119,0.000678,0.002243,0.044354
switch-dr,500.0,0.006278,0.008473,0.0,0.000756,0.002729,0.008364,0.045028
