,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000495,0.001248,0.0,1e-06,2.2e-05,0.000457,0.013158
dr-ibt,500.0,0.001198,0.001864,0.0,0.000122,0.000515,0.001595,0.016387
dr-ibt (tau=0),500.0,0.00304,0.003882,0.0,0.000411,0.001588,0.004333,0.028603
dm,500.0,0.007221,0.00419,0.00022,0.004295,0.006446,0.009615,0.025699
dr,500.0,0.001087,0.001448,0.0,0.000118,0.000533,0.001529,0.011957
mrdr,500.0,0.00106,0.001412,0.0,0.000113,0.000495,0.001568,0.010543
dr-os (oracle),500.0,0.000348,0.000883,0.0,3e-06,1.8e-05,0.000158,0.007352
dr-os,500.0,0.001139,0.001632,0.0,9e-05,0.000478,0.001499,0.01096
switch-dr (oracle),500.0,0.000384,0.000858,0.0,1.2e-05,6e-05,0.000269,0.008168
switch-dr,500.0,0.00123,0.001688,0.0,0.000113,0.000574,0.001564,0.012017
