,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001601,0.003724,0.0,2.8e-05,0.000139,0.000813,0.023585
dr-ibt,500.0,0.003588,0.005266,0.0,0.000283,0.001474,0.004713,0.037236
dr-ibt (tau=0),500.0,0.040848,0.019998,0.001534,0.025964,0.037633,0.052994,0.113417
dm,500.0,0.148115,0.042367,0.049266,0.118,0.144072,0.173669,0.290887
dr,500.0,0.003588,0.005266,0.0,0.000283,0.001474,0.004713,0.037236
mrdr,500.0,0.001638,0.002206,0.0,0.000174,0.000813,0.002264,0.019394
dr-os (oracle),500.0,0.001857,0.003891,0.0,4.1e-05,0.00032,0.001416,0.024334
dr-os,500.0,0.003521,0.005182,0.0,0.000249,0.001436,0.004545,0.03535
switch-dr (oracle),500.0,0.002199,0.00378,0.0,0.00012,0.000659,0.002583,0.023585
switch-dr,500.0,0.003588,0.005266,0.0,0.000283,0.001474,0.004713,0.037236
