,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.058923,0.033838,0.001329,0.033572,0.052992,0.078535,0.198184
dr-ibt,500.0,0.061603,0.036301,0.00133,0.034658,0.054948,0.081994,0.249878
dr-ibt (tau=0),500.0,0.103767,0.03747,0.021551,0.076898,0.097581,0.126475,0.256328
dm,500.0,0.157676,0.044197,0.049545,0.127465,0.154357,0.182095,0.317442
dr,500.0,0.062641,0.054416,0.003338,0.034452,0.055806,0.080848,1.0
mrdr,500.0,0.060438,0.035877,0.001511,0.033113,0.055266,0.080097,0.260561
dr-os (oracle),500.0,0.062813,0.038929,0.000163,0.034055,0.056864,0.083348,0.275716
dr-os,500.0,0.062924,0.039293,0.000163,0.034055,0.056864,0.083348,0.297621
switch-dr (oracle),500.0,0.061386,0.034207,7.3e-05,0.035808,0.057306,0.08089,0.169875
switch-dr,500.0,0.066666,0.055924,7.3e-05,0.036728,0.060652,0.086187,1.0
