,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001447,0.003335,0.0,4e-06,7.7e-05,0.001213,0.029922
dr-ibt,500.0,0.008445,0.011408,1e-06,0.000875,0.004327,0.010396,0.065192
dr-ibt (tau=0),500.0,0.00557,0.007007,0.0,0.000695,0.002846,0.007603,0.042776
dm,500.0,0.007124,0.008491,0.0,0.001054,0.004386,0.009533,0.062593
dr,500.0,0.009474,0.021923,0.0,0.000911,0.003707,0.010818,0.393276
mrdr,500.0,0.010875,0.022048,0.0,0.000999,0.00432,0.012453,0.336269
dr-os (oracle),500.0,0.00188,0.004393,0.0,1.3e-05,9.5e-05,0.001315,0.042361
dr-os,500.0,0.008199,0.011825,0.0,0.000692,0.003808,0.010258,0.071359
switch-dr (oracle),500.0,0.001397,0.003613,0.0,1.4e-05,0.00014,0.000839,0.03212
switch-dr,500.0,0.009343,0.021198,0.0,0.000858,0.003606,0.012228,0.394647
