,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.000554,0.001979,0.0,3e-06,2.1e-05,0.00011,0.026277
dr-ibt,500.0,0.006066,0.008818,0.0,0.000512,0.00242,0.00809,0.057247
dr-ibt (tau=0),500.0,0.027366,0.027498,3e-06,0.005905,0.019682,0.040975,0.154747
dm,500.0,0.056517,0.015432,0.020279,0.045372,0.055885,0.065965,0.110014
dr,500.0,0.005135,0.009231,0.0,0.000492,0.002438,0.006098,0.111949
mrdr,500.0,0.00414,0.006529,0.0,0.000462,0.001916,0.00521,0.059905
dr-os (oracle),500.0,0.003925,0.006317,0.0,9.5e-05,0.000937,0.00511,0.037913
dr-os,500.0,0.004686,0.00621,0.0,0.000501,0.002519,0.006243,0.037913
switch-dr (oracle),500.0,0.003602,0.005911,0.0,0.000157,0.001081,0.004445,0.037459
switch-dr,500.0,0.005135,0.009231,0.0,0.000492,0.002438,0.006098,0.111949
