,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.003115,0.006575,0.0,5e-06,0.000175,0.003007,0.057441
dr-ibt,500.0,0.010255,0.045699,0.0,0.001031,0.004138,0.011186,1.0
dr-ibt (tau=0),500.0,0.009064,0.010865,0.0,0.001235,0.005354,0.012638,0.059923
dm,500.0,0.058287,0.02395,0.007524,0.040045,0.05579,0.073464,0.154471
dr,500.0,0.011608,0.045961,0.0,0.000942,0.004644,0.014063,1.0
mrdr,500.0,0.011575,0.04616,1e-06,0.000977,0.004405,0.012264,1.0
dr-os (oracle),500.0,0.00593,0.010994,0.0,9.5e-05,0.000856,0.007085,0.071534
dr-os,500.0,0.009356,0.012025,0.0,0.001038,0.004425,0.013067,0.072617
switch-dr (oracle),500.0,0.005465,0.010101,0.0,0.000148,0.000836,0.006319,0.062667
switch-dr,500.0,0.011608,0.045961,0.0,0.000942,0.004644,0.014063,1.0
