,count,mean,std,min,25%,50%,75%,max
dr-ibt (oracle),500.0,0.001223,0.002027,0.0,6e-06,0.000262,0.001628,0.017997
dr-ibt,500.0,0.00247,0.003017,0.0,0.000327,0.001234,0.00359,0.018365
dr-ibt (tau=0),500.0,0.007578,0.007927,0.0,0.001455,0.004572,0.011635,0.050522
dm,500.0,0.003956,0.002934,0.0,0.001719,0.003378,0.005511,0.018777
dr,500.0,0.00272,0.003205,0.0,0.000398,0.001599,0.003965,0.018357
mrdr,500.0,0.002787,0.003251,0.0,0.000424,0.001555,0.00413,0.019571
dr-os (oracle),500.0,0.000146,0.000368,0.0,9e-06,3.7e-05,0.000114,0.004175
dr-os,500.0,0.002767,0.003572,0.0,0.00034,0.001557,0.004011,0.024518
switch-dr (oracle),500.0,0.000197,0.000449,0.0,8e-06,5.5e-05,0.000172,0.003974
switch-dr,500.0,0.002914,0.004726,0.0,0.000323,0.001456,0.003981,0.056932
